Index,Top Topics
Topic 4: swift, tailor;
Topic 13: manifesto, willis;"
83,"Topic 14: tucker, poland;
Topic 4: swift, tailor;
Topic 5: blessing, church;"
84,"Topic 14: tucker, poland;
Topic 4: swift, tailor;
Topic 5: blessing, church;"
85,"Topic 5: blessing, church;
Topic 4: swift, tailor;
Topic 16: satanic, satan;"
86,"Topic 5: blessing, church;
Topic 14: tucker, poland;
Topic 16: satanic, satan;"
87,"Topic 14: tucker, poland;
Topic 3: hunter, moldova;
Topic 1: voter, michigan;"
88,"Topic 16: satanic, satan;
Topic 5: blessing, church;
Topic 14: tucker, poland;"
89,"Topic 3: hunter, moldova;
Topic 14: tucker, poland;
Topic 1: voter, michigan;"
90,"Topic 14: tucker, poland;
Topic 10: conall, mitch;
Topic 1: voter, michigan;"
91,"Topic 14: tucker, poland;
Topic 4: swift, tailor;
Topic 3: hunter, moldova;"
92,"Topic 14: tucker, poland;
Topic 16: satanic, satan;
Topic 1: voter, michigan;"
93,"Topic 3: hunter, moldova;
Topic 14: tucker, poland;
Topic 4: swift, tailor;"
94,"Topic 14: tucker, poland;
Topic 4: swift, tailor;
Topic 3: hunter, moldova;"
95,"Topic 14: tucker, poland;
Topic 3: hunter, moldova;
Topic 1: voter, michigan;"
96,"Topic 14: tucker, poland;
Topic 3: hunter, moldova;
Topic 1: voter, michigan;"
97,"Topic 14: tucker, poland;
Topic 5: blessing, church;
Topic 16: satanic, satan;"
98,"Topic 14: tucker, poland;
Topic 4: swift, tailor;
Topic 13: manifesto, willis;"
99,"Topic 3: hunter, moldova;
Topic 4: swift, tailor;
Topic 14: tucker, poland;"
118,"Topic 10: israel, jew;
Topic 14: trump, hunter;
Topic 1: anderson, gabe;"
119,"Topic 10: israel, jew;
Topic 14: trump, hunter;
Topic 13: song, grandma;"
120,"Topic 10: israel, jew;
Topic 14: trump, hunter;
Topic 4: jane, bird;"
121,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 18: carthy, mc;"
122,"Topic 10: israel, jew;
Topic 14: trump, hunter;
Topic 4: jane, bird;"
123,"Topic 10: israel, jew;
Topic 14: trump, hunter;
Topic 18: carthy, mc;"
124,"Topic 10: israel, jew;
Topic 14: trump, hunter;
Topic 18: carthy, mc;"
125,"Topic 10: israel, jew;
Topic 14: trump, hunter;
Topic 19: amelia, asylum;"
126,"Topic 10: israel, jew;
Topic 14: trump, hunter;
Topic 18: carthy, mc;"
127,"Topic 10: israel, jew;
Topic 14: trump, hunter;
Topic 13: song, grandma;"
128,"Topic 10: israel, jew;
Topic 14: trump, hunter;
Topic 18: carthy, mc;"
129,"Topic 10: israel, jew;
Topic 14: trump, hunter;
Topic 18: carthy, mc;"
130,"Topic 10: israel, jew;
Topic 14: trump, hunter;
Topic 12: finn, abortion;"
131,"Topic 10: israel, jew;
Topic 14: trump, hunter;
Topic 18: carthy, mc;"
132,"Topic 10: israel, jew;
Topic 14: trump, hunter;
Topic 13: song, grandma;"
133,"Topic 10: israel, jew;
Topic 14: trump, hunter;
Topic 13: song, grandma;"
134,"Topic 10: israel, jew;
Topic 14: trump, hunter;
Topic 13: song, grandma;"
135,"Topic 14: trump, hunter;
Topic 18: carthy, mc;
Topic 10: israel, jew;"
136,"Topic 14: trump, hunter;
Topic 18: carthy, mc;
Topic 10: israel, jew;"
137,"Topic 14: trump, hunter;
Topic 18: carthy, mc;
Topic 10: israel, jew;"
138,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 7: empire, bower;"
139,"Topic 14: trump, hunter;
Topic 18: carthy, mc;
Topic 10: israel, jew;"
140,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 13: song, grandma;"
141,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 18: carthy, mc;"
142,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 4: jane, bird;"
143,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 15: christina, luca;"
144,"Topic 10: israel, jew;
Topic 14: trump, hunter;
Topic 9: daniel, useph;"
145,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 12: finn, abortion;"
146,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 4: jane, bird;"
147,"Topic 14: trump, hunter;
Topic 9: daniel, useph;
Topic 10: israel, jew;"
148,"Topic 14: trump, hunter;
Topic 18: carthy, mc;
Topic 10: israel, jew;"
149,"Topic 14: trump, hunter;
Topic 18: carthy, mc;
Topic 13: song, grandma;"
150,"Topic 14: trump, hunter;
Topic 13: song, grandma;
Topic 18: carthy, mc;"
151,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 18: carthy, mc;"
152,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 15: christina, luca;"
153,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 12: finn, abortion;"
154,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 12: finn, abortion;"
155,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 15: christina, luca;"
156,"Topic 14: trump, hunter;
Topic 4: jane, bird;
Topic 10: israel, jew;"
157,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 18: carthy, mc;"
158,"Topic 14: trump, hunter;
Topic 7: empire, bower;
Topic 10: israel, jew;"
159,"Topic 14: trump, hunter;
Topic 4: jane, bird;
Topic 10: israel, jew;"
160,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 18: carthy, mc;"
161,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 12: finn, abortion;"
162,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 19: amelia, asylum;"
163,"Topic 14: trump, hunter;
Topic 18: carthy, mc;
Topic 10: israel, jew;"
164,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 15: christina, luca;"
165,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 12: finn, abortion;"
166,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 1: anderson, gabe;"
167,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 18: carthy, mc;"
168,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 9: daniel, useph;"
169,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 1: anderson, gabe;"
170,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 4: jane, bird;"
171,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 18: carthy, mc;"
172,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 19: amelia, asylum;"
173,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 18: carthy, mc;"
174,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 12: finn, abortion;"
175,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 18: carthy, mc;"
176,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 15: christina, luca;"
177,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 4: jane, bird;"
178,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 18: carthy, mc;"
179,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 9: daniel, useph;"
180,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 18: carthy, mc;"
181,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 4: jane, bird;"
182,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 1: anderson, gabe;"
183,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 18: carthy, mc;"
184,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 18: carthy, mc;"
185,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 18: carthy, mc;"
186,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 18: carthy, mc;"
187,"Topic 9: daniel, useph;
Topic 10: israel, jew;
Topic 13: song, grandma;"
188,"Topic 19: amelia, asylum;
Topic 14: trump, hunter;
Topic 10: israel, jew;"
189,"Topic 13: song, grandma;
Topic 14: trump, hunter;
Topic 10: israel, jew;"
190,"Topic 14: trump, hunter;
Topic 1: anderson, gabe;
Topic 10: israel, jew;"
191,"Topic 14: trump, hunter;
Topic 15: christina, luca;
Topic 10: israel, jew;"
192,"Topic 10: israel, jew;
Topic 9: daniel, useph;
Topic 18: carthy, mc;"
193,"Topic 10: israel, jew;
Topic 19: amelia, asylum;
Topic 14: trump, hunter;"
194,"Topic 4: jane, bird;
Topic 14: trump, hunter;
Topic 2: bird, trojan;"
195,"Topic 18: carthy, mc;
Topic 13: song, grandma;
Topic 4: jane, bird;"
196,"Topic 20: bear, mother;
Topic 12: finn, abortion;
Topic 10: israel, jew;"
197,"Topic 13: song, grandma;
Topic 14: trump, hunter;
Topic 19: amelia, asylum;"
198,"Topic 1: anderson, gabe;
Topic 14: trump, hunter;
Topic 10: israel, jew;"
199,"Topic 10: israel, jew;
Topic 4: jane, bird;
Topic 14: trump, hunter;"
200,"Topic 15: christina, luca;
Topic 3: puten, serkov;
Topic 14: trump, hunter;"
201,"Topic 7: empire, bower;
Topic 14: trump, hunter;
Topic 4: jane, bird;"
202,"Topic 14: trump, hunter;
Topic 10: israel, jew;
Topic 12: finn, abortion;"
203,"Topic 1: anderson, gabe;
Topic 19: amelia, asylum;
Topic 18: carthy, mc;"
204,"Topic 13: song, grandma;
Topic 10: israel, jew;
Topic 14: trump, hunter;"
205,"Topic 4: jane, bird;
Topic 14: trump, hunter;
Topic 10: israel, jew;"
206,"Topic 19: amelia, asylum;
Topic 14: trump, hunter;
Topic 10: israel, jew;"
207,"Topic 17: bob, sister;
Topic 14: trump, hunter;
Topic 13: song, grandma;"
208,"Topic 12: finn, abortion;
Topic 10: israel, jew;
Topic 14: trump, hunter;"
209,"Topic 4: jane, bird;
Topic 14: trump, hunter;
Topic 10: israel, jew;"
210,"Topic 16: ghost, crag;
Topic 14: trump, hunter;
Topic 10: israel, jew;"
211,"Topic 19: amelia, asylum;
Topic 12: finn, abortion;
Topic 14: trump, hunter;"
212,"Topic 10: israel, jew;
Topic 19: amelia, asylum;
Topic 13: song, grandma;"
213,"Topic 16: ghost, crag;
Topic 14: trump, hunter;
Topic 1: anderson, gabe;"
214,"Topic 10: israel, jew;
Topic 7: empire, bower;
Topic 18: carthy, mc;"
215,"Topic 13: song, grandma;
Topic 10: israel, jew;
Topic 18: carthy, mc;"
216,"Topic 12: finn, abortion;
Topic 14: trump, hunter;
Topic 13: song, grandma;"
217,"Topic 18: carthy, mc;
Topic 10: israel, jew;
Topic 14: trump, hunter;"
218,"Topic 14: trump, hunter;
Topic 5: cathy, precinct;
Topic 10: israel, jew;"
219,"Topic 13: song, grandma;
Topic 14: trump, hunter;
Topic 15: christina, luca;"
220,"Topic 8: bryan, alyona;
Topic 14: trump, hunter;
Topic 10: israel, jew;"
221,"Topic 13: song, grandma;
Topic 14: trump, hunter;
Topic 10: israel, jew;"
222,"Topic 13: song, grandma;
Topic 14: trump, hunter;
Topic 10: israel, jew;"
223,"Topic 18: carthy, mc;
Topic 13: song, grandma;
Topic 10: israel, jew;"
224,"Topic 4: jane, bird;
Topic 18: carthy, mc;
Topic 14: trump, hunter;"
225,"Topic 14: trump, hunter;
Topic 19: amelia, asylum;
Topic 10: israel, jew;"
226,"Topic 10: israel, jew;
Topic 8: bryan, alyona;
Topic 15: christina, luca;"
227,"Topic 19: amelia, asylum;
Topic 15: christina, luca;
Topic 10: israel, jew;"
228,"Topic 10: israel, jew;
Topic 9: daniel, useph;
Topic 14: trump, hunter;"
229,"Topic 3: puten, serkov;
Topic 14: trump, hunter;
Topic 15: christina, luca;"
230,"Topic 2: bird, trojan;
Topic 14: trump, hunter;
Topic 10: israel, jew;"
231,"Topic 1: anderson, gabe;
Topic 14: trump, hunter;
Topic 9: daniel, useph;"
232,"Topic 16: ghost, crag;
Topic 10: israel, jew;
Topic 14: trump, hunter;"
233,"Topic 16: ghost, crag;
Topic 14: trump, hunter;
Topic 10: israel, jew;"
234,"Topic 2: bird, trojan;
Topic 4: jane, bird;
Topic 18: carthy, mc;"
235,"Topic 18: carthy, mc;
Topic 14: trump, hunter;
Topic 10: israel, jew;"
236,"Topic 19: amelia, asylum;
Topic 4: jane, bird;
Topic 14: trump, hunter;"
237,"Topic 12: finn, abortion;
Topic 10: israel, jew;
Topic 4: jane, bird;"
238,"Topic 13: song, grandma;
Topic 14: trump, hunter;
Topic 10: israel, jew;"
239,"Topic 13: song, grandma;
Topic 10: israel, jew;
Topic 18: carthy, mc;"
240,"Topic 15: christina, luca;
Topic 14: trump, hunter;
Topic 10: israel, jew;"
241,"Topic 10: israel, jew;
Topic 1: anderson, gabe;
Topic 14: trump, hunter;"
242,"Topic 9: daniel, useph;
Topic 10: israel, jew;
Topic 14: trump, hunter;"
243,"Topic 6: recovery, disorder;
